"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2019","168.91","169.91","170.36","168.50","2.23M","0.37%"
"Jun 10, 2019","168.29","168.11","170.22","167.87","2.26M","1.01%"
"Jun 07, 2019","166.61","165.56","167.09","164.64","2.02M","1.15%"
"Jun 06, 2019","164.72","164.00","166.35","162.46","3.58M","0.53%"
"Jun 05, 2019","163.85","165.14","165.83","162.88","3.16M","-0.27%"
"Jun 04, 2019","164.29","161.73","165.09","161.58","3.75M","2.66%"
"Jun 03, 2019","160.04","159.75","161.50","159.32","3.73M","0.18%"
"May 31, 2019","159.75","159.83","160.74","159.63","3.52M","-0.52%"
"May 30, 2019","160.58","161.40","162.27","160.00","2.48M","-0.51%"
"May 29, 2019","161.40","163.01","163.80","160.50","3.67M","-1.19%"
"May 28, 2019","163.35","166.80","166.99","163.35","4.88M","-1.65%"
"May 24, 2019","166.09","166.34","167.42","165.32","2.37M","0.13%"
"May 23, 2019","165.87","167.58","168.30","164.59","3.83M","-2.28%"
"May 22, 2019","169.74","167.43","170.76","166.46","4.50M","1.46%"
"May 21, 2019","167.30","167.01","167.42","166.18","4.15M","0.63%"
"May 20, 2019","166.25","167.96","167.96","165.61","4.37M","-1.68%"
"May 17, 2019","169.09","170.00","170.26","168.43","4.60M","-1.58%"
"May 16, 2019","171.81","174.39","174.39","171.36","4.04M","-1.33%"
"May 15, 2019","174.12","174.02","175.65","173.65","3.02M","-0.62%"
"May 14, 2019","175.21","174.79","176.97","174.51","4.01M","0.65%"
"May 13, 2019","174.07","173.94","174.58","172.79","5.92M","-1.02%"
"May 10, 2019","175.86","175.02","176.33","173.01","5.01M","0.33%"
"May 09, 2019","175.28","177.30","177.40","174.18","5.10M","-1.85%"
"May 08, 2019","178.59","179.51","180.53","178.50","2.99M","-0.30%"
"May 07, 2019","179.12","181.81","181.90","177.81","5.42M","-2.14%"
"May 06, 2019","183.04","182.04","183.11","180.13","6.52M","-1.18%"
"May 03, 2019","185.22","185.81","186.69","184.09","4.75M","0.25%"
"May 02, 2019","184.75","184.50","186.50","183.38","5.65M","-0.71%"
"May 01, 2019","186.07","189.49","189.71","185.92","3.82M","-1.82%"
"Apr 30, 2019","189.51","190.86","190.86","186.55","4.54M","-0.37%"
"Apr 29, 2019","190.21","191.52","192.19","189.75","3.80M","-0.76%"
"Apr 26, 2019","191.67","190.53","192.25","189.36","4.49M","0.50%"
"Apr 25, 2019","190.72","197.54","198.96","189.60","14.65M","-12.95%"
"Apr 24, 2019","219.08","219.00","219.75","218.10","2.05M","-0.19%"
"Apr 23, 2019","219.50","218.01","219.55","217.18","1.56M","0.44%"
"Apr 22, 2019","218.54","217.30","219.40","217.27","1.40M","-0.16%"
"Apr 18, 2019","218.88","217.98","219.67","217.62","1.78M","0.57%"
"Apr 17, 2019","217.64","217.63","219.33","217.18","1.98M","0.34%"
"Apr 16, 2019","216.90","216.59","217.67","215.48","1.55M","0.50%"
"Apr 15, 2019","215.83","216.84","217.36","214.90","1.48M","-0.73%"
"Apr 12, 2019","217.42","215.10","217.49","214.35","1.92M","1.82%"
"Apr 11, 2019","213.53","211.71","213.71","211.44","1.18M","0.67%"
"Apr 10, 2019","212.11","212.42","212.71","210.72","1.35M","0.07%"
"Apr 09, 2019","211.96","214.42","214.57","211.82","1.52M","-1.42%"
"Apr 08, 2019","215.02","214.71","215.07","213.47","1.13M","-0.18%"
"Apr 05, 2019","215.41","215.88","216.49","214.80","1.39M","0.18%"
"Apr 04, 2019","215.03","213.50","215.27","212.32","1.56M","0.89%"
"Apr 03, 2019","213.13","212.95","213.93","212.44","1.57M","0.47%"
"Apr 02, 2019","212.13","212.24","212.70","211.00","1.41M","0.09%"
"Apr 01, 2019","211.94","209.89","212.39","209.25","2.59M","2.00%"
"Mar 29, 2019","207.78","209.29","209.50","206.20","2.86M","-0.36%"
"Mar 28, 2019","208.53","208.00","208.74","206.64","1.67M","0.66%"
"Mar 27, 2019","207.16","207.40","207.94","205.13","2.00M","-0.04%"
"Mar 26, 2019","207.24","205.00","207.64","204.77","1.90M","1.98%"
"Mar 25, 2019","203.21","203.46","205.47","202.25","2.02M","-0.71%"
"Mar 22, 2019","204.66","208.29","208.49","204.47","2.72M","-2.36%"
"Mar 21, 2019","209.61","206.80","210.16","205.97","2.29M","0.63%"
"Mar 20, 2019","208.30","209.00","210.51","207.29","1.73M","-0.34%"
"Mar 19, 2019","209.02","209.10","210.54","208.31","2.35M","0.25%"
"Mar 18, 2019","208.49","208.44","208.60","205.61","1.84M","0.20%"
"Mar 15, 2019","208.08","208.40","208.66","206.79","4.39M","0.34%"
"Mar 14, 2019","207.38","206.70","207.45","205.73","1.79M","0.35%"
"Mar 13, 2019","206.66","206.83","207.30","205.63","2.04M","0.42%"
"Mar 12, 2019","205.80","207.84","208.39","205.38","2.12M","-0.63%"
"Mar 11, 2019","207.10","201.88","207.16","201.66","2.39M","3.09%"
"Mar 08, 2019","200.89","198.38","201.17","198.00","1.72M","0.52%"
"Mar 07, 2019","199.86","202.56","202.56","198.50","3.34M","-1.45%"
"Mar 06, 2019","202.80","204.73","204.79","202.76","1.83M","-0.51%"
"Mar 05, 2019","203.84","205.58","207.25","203.84","2.74M","-1.46%"
"Mar 04, 2019","206.86","208.99","209.98","205.74","1.99M","-0.30%"
"Mar 01, 2019","207.49","208.81","209.76","206.90","1.75M","0.05%"
"Feb 28, 2019","207.39","209.05","209.05","206.96","2.12M","-0.78%"
"Feb 27, 2019","209.03","209.60","209.69","208.16","1.54M","-0.17%"
"Feb 26, 2019","209.38","210.58","211.59","209.37","1.67M","-0.57%"
"Feb 25, 2019","210.58","210.47","211.35","210.34","2.18M","0.59%"
"Feb 22, 2019","209.35","207.77","209.66","207.15","1.53M","0.76%"
"Feb 21, 2019","207.77","208.16","209.11","207.25","1.74M","-0.36%"
"Feb 20, 2019","208.53","208.93","208.97","207.32","1.88M","0.06%"
"Feb 19, 2019","208.41","207.91","209.15","207.39","1.53M","-0.22%"
"Feb 15, 2019","208.86","206.46","208.97","206.00","2.00M","1.92%"
"Feb 14, 2019","204.93","206.59","207.12","204.05","2.23M","-2.28%"
"Feb 13, 2019","209.72","207.09","210.40","206.59","2.97M","1.52%"
"Feb 12, 2019","206.57","202.87","206.79","202.19","2.62M","2.82%"
"Feb 11, 2019","200.91","200.93","201.20","199.64","1.51M","0.55%"
"Feb 08, 2019","199.82","199.22","199.85","197.90","1.45M","-0.01%"
"Feb 07, 2019","199.84","201.02","202.40","198.85","1.95M","-1.35%"
"Feb 06, 2019","202.57","201.22","203.08","200.25","1.67M","0.72%"
"Feb 05, 2019","201.12","200.72","201.13","199.73","2.04M","0.45%"
"Feb 04, 2019","200.21","199.01","200.26","196.25","1.97M","0.53%"
"Feb 01, 2019","199.16","201.49","201.77","198.29","2.24M","-0.57%"
"Jan 31, 2019","200.30","198.80","200.89","197.74","3.34M","0.52%"
"Jan 30, 2019","199.27","198.22","200.11","194.63","2.17M","1.18%"
"Jan 29, 2019","196.95","195.01","199.89","194.20","4.31M","1.94%"
"Jan 28, 2019","193.20","193.14","193.45","191.07","3.16M","-1.38%"
"Jan 25, 2019","195.90","194.72","197.16","194.46","2.32M","1.76%"
"Jan 24, 2019","192.52","192.26","193.16","191.51","1.58M","0.12%"
"Jan 23, 2019","192.29","192.63","194.00","190.28","1.65M","0.02%"
"Jan 22, 2019","192.26","194.22","194.49","190.43","2.71M","-1.84%"
"Jan 18, 2019","195.86","194.34","196.40","192.36","2.75M","2.16%"
"Jan 17, 2019","191.71","188.56","192.90","187.90","1.98M","1.18%"
"Jan 16, 2019","189.48","188.51","190.44","188.42","2.49M","0.29%"
"Jan 15, 2019","188.94","188.84","190.68","187.86","2.74M","-1.68%"
"Jan 14, 2019","192.17","190.64","192.83","189.80","1.91M","-0.02%"
"Jan 11, 2019","192.21","191.84","192.69","190.86","2.36M","-0.72%"
"Jan 10, 2019","193.60","190.87","193.81","189.40","1.94M","0.68%"
"Jan 09, 2019","192.30","193.25","193.94","191.38","2.16M","0.32%"
"Jan 08, 2019","191.68","193.00","194.11","189.58","2.48M","0.42%"
"Jan 07, 2019","190.88","191.36","192.30","188.66","2.16M","-0.23%"
"Jan 04, 2019","191.32","186.75","191.98","186.03","3.00M","4.11%"
"Jan 03, 2019","183.76","188.28","188.28","182.89","3.36M","-3.77%"
"Jan 02, 2019","190.95","187.82","190.99","186.70","2.48M","0.22%"
